k,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max
293,Randy Wolf*\wolfra02,29,PHI,56.2,12,12,4,0,8,3,0,9,3,.750,1,3,0,0,2,17%,44.4,61,25,7,4,1,6,6.8,7.2,4.7,88,2,9,1,0,105
294,Kerry Wood\woodke02,29,CHC,19.2,4,4,1,2,1,0,0,1,3,.250,1,0,0,0,1,25%,47.5,59,35,1,0,0,3,3.9,3.2,4.9,79,2,2,0,0,86
295,Mike Wood\woodmi01,26,KCR,64.2,23,7,0,3,4,0,0,2,5,.286,0,4,0,0,1,14%,40.0,54,18,21,4,1,3,4.7,1.0,4.9,83,3,2,2,0,101
296,Jake Woods*\woodsja01,24,SEA,105.0,37,8,3,3,2,1,0,4,4,.500,1,0,0,0,2,25%,45.8,71,15,21,4,0,3,4.1,3.4,5.3,90,2,4,2,0,104
297,Jamey Wright\wrighja01,31,SFG,156.0,34,21,6,10,5,1,2,8,13,.381,1,3,0,0,9,43%,44.6,71,14,19,14,2,12,4.7,4.2,6.3,98,1,8,12,0,118
298,Jaret Wright\wrighja02,30,NYY,140.1,30,27,11,6,10,7,2,16,11,.593,3,6,0,0,10,37%,47.1,74,24,32,17,1,13,5.5,5.3,5.0,84,6,20,1,0,103
299,Shane Youman*\youmash01,26,PIT,21.2,5,3,0,2,1,0,0,1,2,.333,0,0,0,0,1,33%,51.7,69,43,3,2,1,1,1.7,2.0,5.6,85,0,3,0,0,90
300,Chris Young\youngch03,27,SDP,179.1,31,31,11,5,15,1,1,18,13,.581,7,7,0,0,18,58%,56.3,86,18,18,7,0,15,4.2,4.0,5.8,98,4,9,16,2,127
301,Carlos Zambrano\zambrca01,25,CHC,214.0,33,33,16,7,10,4,2,20,13,.606,4,6,0,0,22,67%,57.1,86,18,12,2,0,11,5.8,5.4,6.5,110,1,0,24,8,128
302,Victor Zambrano\zambrvi01,30,NYM,21.1,5,5,1,2,2,1,0,3,2,.600,0,1,0,0,1,20%,42.4,60,26,0,0,0,2,5.4,3.9,4.3,73,1,4,0,0,90
303,Barry Zito*\zitoba01,28,OAK,221.0,34,34,16,10,8,5,4,21,13,.618,4,5,0,0,20,59%,52.1,76,17,13,2,0,13,4.4,4.4,6.5,108,1,6,23,4,128
